title,twt_uri
Wakoopa,http://twitter.com/wakoopa
Layar,https://twitter.com/Layar
eBuddy,https://twitter.com/eBuddy
Shuffler.fm,http://twitter.com/shufflerfm
Marvia,http://twitter.com/marvia
Soocial,http://twitter.com/soocial
Toogethr,http://twitter.com/toogethr
MobyPicture,http://twitter.com/mobypicture
TipSpot,http://www.twitter.com/tipspot
Appsterdam,https://twitter.com/appsterdamrs
WeTransfer,https://twitter.com/WeTransfer
RockStart,https://twitter.com/rockstart
Springest,https://twitter.com/Springest
Twirus,http://twitter.com/twirus_
Silk,https://twitter.com/#!/silkapp
"Twitter Counter",https://twitter.com/TheCounter
Skylines,http://www.twitter.com/skylinesHQ
12active,https://twitter.com/12active
BottleNose,https://twitter.com/bottlenoseapp
"Cloud9 IDE",http://twitter.com/#!/cloud9ide
sociomantic,http://www.twitter.com/sociomantic
SellanApp,http://www.twitter.com/sellanapp
Foodzy,http://twitter.com/foodzy
Karma,https://twitter.com/#!/yourkarma
Snowciety,https://twitter.com/Snowciety
Droam,http://www.twitter.com/droam
Keytoe,http://twitter.com/keytoe
Offertise,http://twitter.com/offertise
Sinoxi,http://twitter.com/Sinoxi
Negeso,http://twitter.com/negeso_en
Navigram,https://twitter.com/navigram
Sooqr.com,http://twitter.com/Sooqrcom
Azzugia,http://www.twitter.com/azzugia
Cosent,http://twitter.com/GuidoStevens
Jipio,http://www.twitter.com/jip_io
LetUsLook,https://twitter.com/#!/LetUsLook_
Civolution,http://twitter.com/Civolution
Greetinq,http://www.twitter.com/greetinq
Texttochange,http://twitter.com/texttochange
Roamler,http://twitter.com/#!/roamlerNL
Imbull,http://twitter.com/bespaar
"Green Claim",http://twitter.com/GreenClaim
"TomTom - Amsterdam",http://www.twitter.com/tomtombenelux
TAUS,http://twitter.com/T21Century
Repudo,http://twitter.com/repudo
Booking.com,https://twitter.com/bookingcom
Diginext,https://twitter.com/diginext
"Third Sight",https://twitter.com/#!/thirdsight
Nimbuzz,https://twitter.com/nimbuzz
"TomTom - Eindhoven",http://www.twitter.com/tomtombenelux
"United Academics",http://twitter.com/unitedacademics
Peecho,http://twitter.com/peecho
SRExpenses,http://www.twitter.com/SecuReceipt
"Startup Now",https://twitter.com/StartupNow_/
"Quirijns Company",http://twitter.com/qcompany
WOVOX,http://twitter.com/wovox
AdGibbon,http://twitter.com/#!/AdGibbon
Apoio,http://www.twitter.com/apo_io
Whoopa,http://www.twitter.com/whoopaa
CheckZis,http://twitter.com/checkzis
eSjans,http://www.twitter.com/e_sjans
Favour.it,https://twitter.com/favour_it
Imgzine,http://www.twitter.com/imgZine
Konnektid,https://twitter.com/konnektid
HUMINT,http://twitter.com/#!/Humint_NL
Textkernel,http://twitter.com/textkernel
OpenApotheek.nl,http://twitter.com/openapotheek
Orangedotcom,http://twitter.com/Orangedotcom_nl
Peerby.com,http://www.twitter.com/peerby
"Research Africa",http://twitter.com/research_africa
MoneyBird,http://twitter.com/moneybird
"Twelve Twenty",http://twitter.com/twelve_20
inSided,http://www.twitter.com/insidedmedia
Coachingvoormij.nl,http://twitter.com/coachingvoormij
JoinPublic,https://twitter.com/Joinpublic_App
"HT Applications",http://www.twitter.com/HesselvanTuinen
SmartSpotter,http://www.twitter.com/SmartSpotter
"NLP People",https://twitter.com/nlppeople
StartupMap.nl,https://twitter.com/StartupMapNL
ViViMOBi,https://twitter.com/ViViMOBi
Dexels,https://twitter.com/dexels
PastBook,https://twitter.com/pastbook
Qurrent,http://www.twitter.com/qurrent
Snipper,http://twitter.com/SnipperApp/
"Mobile Professionals",http://twitter.com/mobpros
"Rock & Code",https://twitter.com/rockncode
BounceSpace,https://twitter.com/BounceSpace
Plamo,https://twitter.com/#!/plamo_nl
Sciomino,https://twitter.com/#!/sciomino
"The CoWorking Amsterdam",http://twitter.com/CoWorkingAmster
